T,$\sigma$,V
15.0,0.0,-2255659212.081802
15.0,15.0,-2255603140.3899956
15.0,30.0,-2255506843.3698187
15.0,45.0,-2255431701.4977026
15.0,60.0,-2255386323.920591
15.0,75.0,-2255362180.2447333
15.0,90.0,-2255350258.454156
15.0,105.0,-2255344653.835485
15.0,120.0,-2255342109.229029
15.0,135.0,-2255340983.642019
15.0,150.0,-2255340495.7334275
15.0,165.0,-2255340287.643017
15.0,180.0,-2255340200.065404
15.0,195.0,-2255340163.6138997
15.0,210.0,-2255340148.584046
15.0,225.0,-2255340142.4366426
15.0,240.0,-2255340139.9398246
15.0,255.0,-2255340138.9319215
15.0,270.0,-2255340138.5272546
15.0,285.0,-2255340138.365564
15.0,300.0,-2255340138.3012366
15.0,315.0,-2255340138.275744
15.0,330.0,-2255340138.2656765
15.0,345.0,-2255340138.2617135
15.0,360.0,-2255340138.260158
15.0,375.0,-2255340138.259549
15.0,390.0,-2255340138.2593117
15.0,405.0,-2255340138.2592187
15.0,420.0,-2255340138.259183
15.0,435.0,-2255340138.2591686
15.0,450.0,-2255340138.2591634
15.0,465.0,-2255340138.2591615
15.0,480.0,-2255340138.2591605
15.0,495.0,-2255340138.25916
15.0,510.0,-2255340138.25916
15.0,525.0,-2255340138.25916
15.0,540.0,-2255340138.25916
15.0,555.0,-2255340138.25916
15.0,570.0,-2255340138.25916
15.0,585.0,-2255340138.25916
15.0,600.0,-2255340138.25916
15.0,615.0,-2255340138.25916
15.0,630.0,-2255340138.25916
15.0,645.0,-2255340138.25916
15.0,660.0,-2255340138.25916
15.0,675.0,-2255340138.25916
15.0,690.0,-2255340138.25916
15.0,705.0,-2255340138.25916
15.0,720.0,-2255340138.25916
15.0,735.0,-2255340138.25916
15.0,750.0,-2255340138.25916
15.0,765.0,-2255340138.25916
15.0,780.0,-2255340138.25916
15.0,795.0,-2255340138.25916
15.0,810.0,-2255340138.25916
15.0,825.0,-2255340138.25916
15.0,840.0,-2255340138.25916
15.0,855.0,-2255340138.25916
15.0,870.0,-2255340138.25916
15.0,885.0,-2255340138.25916
15.0,900.0,-2255340138.25916
15.0,915.0,-2255340138.25916
15.0,930.0,-2255340138.25916
15.0,945.0,-2255340138.25916
15.0,960.0,-2255340138.25916
15.0,975.0,-2255340138.25916
15.0,990.0,-2255340138.25916
30.0,0.0,112020922.71955948
30.0,15.0,112081614.86440276
30.0,30.0,112198876.31054805
30.0,45.0,112316200.21148887
30.0,60.0,112417104.70660613
30.0,75.0,112498675.92022566
30.0,90.0,112562078.85517159
30.0,105.0,112609892.0421764
30.0,120.0,112645074.94038655
30.0,135.0,112670446.47965081
30.0,150.0,112688438.49729982
30.0,165.0,112701019.32715236
30.0,180.0,112709712.39593385
30.0,195.0,112715658.38706681
30.0,210.0,112719689.9378903
30.0,225.0,112722402.71904582
30.0,240.0,112724215.81675193
30.0,255.0,112725420.782342
30.0,270.0,112726217.3206246
30.0,285.0,112726741.42090036
30.0,300.0,112727084.86381075
30.0,315.0,112727309.00512989
30.0,330.0,112727454.81195045
30.0,345.0,112727549.36518106
30.0,360.0,112727610.50666659
30.0,375.0,112727649.93932077
30.0,390.0,112727675.30973803
30.0,405.0,112727691.59601033
